"complaint","department"
"I wish to lodge a complaint regarding the fact that there are frequent power cuts in the housing society since last Sunday. Requesting immediate action from your department.","Electricity"
"This is an emergency situation. illegal parking near our block is blocking the road. Please take strict action against those responsible.","Transport"
"the water tanker never arrives on time in the slum area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Water Supply"
"I feel helpless because a live wire fell near Gandhi NAGAR and no one has come to fix it for over a week.","Electricity"
"Could you please look into the issue that the drainage cover near Nehru Colony is broken, its a safety hazard?","Drainage"
"It is so painful to see that heavy rain caused the drain near the residential block to overflow into houses. Please take strict action against those responsible","Drainage"
"HELLO, there is a lot of noise disturbance near our building at night.","Police"
"Could you please look into   the issue that auto rickshaw drivers near our block are overcharging passengers? Please send someone to fix this soon.","Transport"
"stagnant water from the drain near the housing society is causing diseases.","Drainage"
"the local train service near MG Road has been delayed for over a week. This has been a recurring issue in the area and is   causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Transport"
"burning of garbage near the railway station road is causing air pollution. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Sanitation"
"stray dogs near the hospital in the panchayat office area are becoming a health hazard. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Health"
"the health camp promised near the apartment complex was never conducted.","Health"
"we suspect sewage is mixing with drinking water supply in the housing society. This has   been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Water Supply"
"there is a lot of noise disturbance near the slum area at night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents","Police"
"there are huge potholes on the road near our village.","Roads"
"the road divider near the temple area is broken and dangerous for drivers. This has been a recurring issue in the area and is causing a lot of INCONVENIENCE to residents. Thank you.","Roads"
"I wish to lodge a complaint regarding the fact that there is no proper parking space available near the hospital area.","Transport"
"Hello, there is a terrible smell coming from the drain near Gandhi Nagar. Please take strict action against those responsible.","Drainage"
"Hello, anti social elements have been loitering near our colony since last week.","Police"
"We are fed up as the sanitation inside the hospital near the industrial area is very poor. Please help us out.","Health"
"I am really frustrated that drains in Nehru Colony are completely blocked with waste. Waiting for a quick response from your side.","Drainage"
"Immediate action required: illegal parking near the local market is blocking the road. Please look into this matter as soon as possible.","Transport"
"we are suffering a lot because an electric pole near the local market is DAMAGED and leaning dangerously. Please send someone to fix this soon.","Electricity"
"This is to formally inform you that public health concerns are rising due to poor waste disposal near our building. Requesting immediate action from your department.","Health"
"Sir/madam garbage has not been collected in the residential block since the rains started. Please help us out.","Sanitation"
"Could you please look into the issue that the power supply to Ward 7 keeps tripping every few hours? Hope to see quick action on this.","Electricity"
"My family is really struggling since the sanitation inside the hospital near Shastri Nagar is very poor. Please take strict action against those responsible.","Health"
"We are   fed up as a street fight broke out near Sector 12 last night. Thank you.","Police"
"the bus stop near the outskirts of the city has been broken since the rains started. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Transport"
"there is a terrible smell coming from the drain near the water tank area.","Drainage"
"Kindly note that illegal parking near the old town area is causing trouble for residents. Please help us   out.","Police"
"the TRAFFIC signal near the park area has been malfunctioning for the last 5 days.","Transport"
